Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,Status,Comments
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,20/01/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,03/02/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,17/02/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,02/03/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,15/03/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,31/03/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,15/04/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,27/04/2020,20,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,11/05/2020,No harmful species,80,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,27/05/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,09/06/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,23/06/2020,No harmful species,40,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,30/06/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,15/07/2020,No harmful species,520,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,27/07/2020,No harmful species,4600,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,10/08/2020,60,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,01/09/2020,No harmful species,260,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,14/09/2020,No harmful species,460,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,28/09/2020,No harmful species,360,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,13/10/2020,No harmful species,200,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,27/10/2020,No harmful species,40,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,09/11/2020,No harmful species,120,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,23/11/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,07/12/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,14/12/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C11 - AFFNI84,Oysters,06/01/2020,No harmful species,No harmful species,No harmful species,Open,
